DXEX v5
C:\Data\LDA\Charlie_2017\Run9_x400_fl_8hz_300secs\Run9_x400_fl_8hz_300secs.lda
14:57:16
1;400.0000 mm;0.0000 mm;1.0000 mm
Region1
"Row#"	"AT [ms]"	"TT [us]"	"LDA1 [m/s]"	"LDA4 [m/s]"	
1	7.301	252.6	0.08721	0.00039
2	19.261	723.6	0.07855	-0.00011
3	52.657	546.1	0.11040	0.00066
4	56.371	737.3	0.08989	0.00065
5	82.640	1010.3	0.14126	-0.00290
6	88.784	505.2	0.13512	-0.00109
7	93.645	846.5	0.13650	-0.00447
8	146.620	436.9	0.09190	0.00195
9	168.274	1679.4	0.10024	-0.00093
10	171.851	723.6	0.09106	0.00129
11	239.189	546.1	0.11371	-0.00070
12	241.347	983.0	0.10056	-0.00069
13	249.921	805.5	0.10709	0.00086
14	259.533	716.8	0.10610	-0.00074
15	266.551	846.5	0.11935	-0.00103
16	299.837	682.7	0.11934	-0.00074
17	327.718	600.7	0.11617	-0.00205
18	342.682	655.4	0.11022	-0.00014
19	359.967	464.2	0.11366	-0.00049
20	375.504	402.8	0.11531	-0.00403
21	383.942	873.8	0.12076	-0.00082
22	402.838	375.5	0.13697	-0.00478
23	414.580	634.9	0.13573	-0.00213
24	447.075	1174.2	0.12481	-0.00158
25	448.577	546.1	0.13621	-0.00278
26	463.377	1092.3	0.11482	-0.00127
27	465.234	832.9	0.13098	-0.00304
28	495.927	252.6	0.11488	-0.00168
29	497.947	477.9	0.11836	-0.00232
30	510.863	662.2	0.11458	-0.00230
31	515.232	791.9	0.11892	-0.00305
32	607.611	355.0	0.09361	-0.00119
33	662.470	1092.3	0.08199	0.00025
34	671.645	1010.3	0.08807	-0.00289
35	704.795	1153.7	0.07554	0.00016
36	771.369	880.6	0.05598	0.00244
37	775.574	2430.3	0.05726	0.00171
38	786.278	1181.0	0.05587	0.00149
39	809.462	607.6	0.05503	0.00132
40	821.313	983.0	0.06527	-0.00120
41	867.488	409.6	0.05146	0.00228
42	889.388	2341.5	0.04671	0.00047
43	944.657	1201.5	0.06685	0.00044
44	978.353	1372.2	0.06632	0.00094
45	988.266	1754.5	0.06564	-0.00047
46	998.697	1256.1	0.05913	0.00140
47	1027.178	1228.8	0.05118	0.00218
48	1056.942	1481.4	0.06140	0.00145
49	1076.603	1768.1	0.04958	0.00009
50	1134.985	682.7	0.08188	-0.00238
51	1141.047	1037.7	0.08929	-0.00384
