DXEX v5
C:\Data\LDA\Skin_Friction_2017\Charlie_Z\20170815_CharlieZ.lda
16:59:16
6;400.0000 mm;0.0000 mm;-50.0000 mm
Region1
"AT [ms]"	"TT [us]"	"LDA1 [m/s]"	"LDA4 [m/s]"	
15.657	355.0	0.45691	0.01950
31.031	266.2	0.44590	0.02429
45.230	218.5	0.45766	0.02152
47.715	361.8	0.46392	0.02303
49.408	245.8	0.46095	0.01828
49.872	300.4	0.45991	0.01911
61.723	327.7	0.45777	0.03625
68.523	143.4	0.46065	0.05287
75.513	245.8	0.44918	0.03194
81.411	279.9	0.45397	0.00053
87.228	191.1	0.45110	0.01277
88.975	273.1	0.44859	0.00189
90.013	307.2	0.44764	0.00321
99.980	334.5	0.44974	-0.01596
109.073	232.1	0.43183	-0.00529
161.256	191.1	0.46583	0.01191
165.734	198.0	0.48834	0.00017
252.051	225.3	0.39010	-0.08767
257.922	341.3	0.38098	-0.07745
264.776	355.0	0.37511	-0.07952
276.026	382.3	0.33943	-0.07740
278.320	368.6	0.33832	-0.06965
343.473	355.0	0.42755	-0.02796
346.778	184.3	0.43121	-0.03203
365.947	327.7	0.43894	-0.04552
371.299	252.6	0.44220	-0.04011
383.887	293.5	0.43929	-0.02451
384.215	191.1	0.44010	-0.00021
407.644	266.2	0.46449	-0.00358
432.193	334.5	0.46351	-0.02078
439.538	245.8	0.45279	-0.02008
449.942	259.4	0.42390	-0.02218
494.643	191.1	0.49258	-0.01260
511.683	293.5	0.48331	-0.01618
526.182	252.6	0.46903	-0.02603
547.509	286.7	0.47671	-0.01989
562.582	307.2	0.45812	-0.00370
563.429	341.3	0.46454	-0.00133
594.831	232.1	0.42634	-0.00641
603.187	355.0	0.44006	-0.00848
607.802	273.1	0.43596	-0.00583
614.492	307.2	0.43224	-0.00629
632.296	314.0	0.43386	-0.00639
633.088	204.8	0.42588	-0.02113
647.615	191.1	0.46490	-0.01615
652.148	198.0	0.46263	-0.01156
667.467	218.5	0.47400	-0.03030
684.998	389.1	0.46468	-0.03221
689.394	218.5	0.46330	-0.02891
693.354	279.9	0.45701	-0.03338
726.040	238.9	0.42374	-0.03145
735.297	327.7	0.44267	-0.03725
755.067	334.5	0.46713	-0.01874
760.829	259.4	0.46113	-0.03098
772.297	266.2	0.46901	-0.02564
773.390	184.3	0.49305	-0.00852
788.982	232.1	0.43434	-0.00987
789.528	170.7	0.45795	-0.00071
794.716	211.6	0.45239	-0.00733
795.126	300.4	0.43644	0.00232
812.438	273.1	0.43297	-0.01554
815.415	170.7	0.43036	-0.01388
817.108	327.7	0.43524	-0.01856
829.095	266.2	0.43271	-0.01816
845.643	279.9	0.41898	-0.00665
848.893	273.1	0.42050	-0.00172
855.446	273.1	0.43420	-0.01838
880.104	348.2	0.47160	-0.00971
895.341	150.2	0.47139	-0.00111
913.282	218.5	0.46656	-0.01659
930.703	245.8	0.45263	-0.01793
932.560	320.9	0.45042	-0.03015
946.268	286.7	0.43802	-0.05635
995.639	191.1	0.44796	0.00178
999.079	266.2	0.43664	-0.00045
1001.236	273.1	0.43609	-0.00022
1002.711	293.5	0.42928	-0.00616
1003.639	238.9	0.43337	-0.00003
1007.954	293.5	0.43886	-0.00403
1020.406	341.3	0.43683	-0.04018
1025.294	198.0	0.42817	-0.04754
1053.556	245.8	0.41974	-0.00168
1062.267	355.0	0.40670	0.00689
1074.937	273.1	0.40275	-0.01177
1078.514	225.3	0.41309	-0.00556
1091.348	225.3	0.39801	-0.02804
1098.721	355.0	0.39857	-0.02045
1101.124	225.3	0.40693	-0.02392
1125.782	279.9	0.41303	-0.03763
1141.757	170.7	0.41585	-0.02557
1156.666	184.3	0.41274	-0.05613
1162.373	300.4	0.41882	-0.02130
1183.727	368.6	0.41608	-0.04446
1194.103	252.6	0.42705	-0.04532
1218.789	198.0	0.41612	-0.03213
1250.765	191.1	0.42625	-0.05431
1259.312	375.5	0.42334	-0.04551
1263.217	245.8	0.45051	-0.05185
1276.815	252.6	0.44292	0.00993
1288.666	320.9	0.40976	0.01276
1326.568	245.8	0.41694	-0.02730
1333.668	245.8	0.43426	-0.04667
1387.899	225.3	0.40586	-0.04965
1405.020	191.1	0.42239	-0.01454
1406.986	211.6	0.41801	-0.01509
1414.277	266.2	0.41069	-0.05933
1465.177	211.6	0.41422	-0.00017
1466.351	163.8	0.41400	0.00060
1482.953	327.7	0.40795	-0.01814
1490.272	218.5	0.40666	-0.02398
1521.510	430.1	0.44229	-0.01812
1537.130	273.1	0.44882	-0.02704
1539.369	170.7	0.45306	-0.01675
1548.298	375.5	0.46615	-0.02050
1560.040	191.1	0.45962	-0.01722
1570.198	245.8	0.46511	-0.03508
1587.046	157.0	0.45588	-0.00079
1610.721	191.1	0.45868	-0.01703
1625.795	252.6	0.44699	-0.02586
1627.351	348.2	0.45474	-0.04844
1628.116	355.0	0.44701	-0.04721
1635.407	355.0	0.45025	-0.03818
1650.452	341.3	0.43766	-0.03708
1662.140	225.3	0.44030	-0.03478
1662.959	184.3	0.43996	-0.03355
1669.212	238.9	0.43938	-0.02217
1669.731	211.6	0.43995	0.00071
1675.602	457.4	0.44221	-0.03293
1680.408	279.9	0.44364	-0.03504
1686.934	245.8	0.44267	-0.02060
1705.639	368.6	0.43145	-0.03281
1722.324	300.4	0.44439	0.00080
1723.716	286.7	0.44552	0.00650
1742.148	170.7	0.47639	0.02669
1750.204	218.5	0.47392	0.02782
1763.366	170.7	0.45713	-0.00066
1767.953	238.9	0.44169	0.00105
1769.564	355.0	0.44265	0.00402
1788.406	293.5	0.46733	0.01835
1824.778	279.9	0.46638	0.02481
1881.139	204.8	0.48403	0.01407
1894.547	402.8	0.48559	0.01882
1906.534	191.1	0.46972	0.01455
1914.371	163.8	0.47965	0.00099
1931.110	218.5	0.46844	0.01413
1932.285	184.3	0.46755	0.01675
1938.811	238.9	0.46582	0.01355
1940.258	218.5	0.47888	0.02000
1985.860	184.3	0.49442	-0.00385
1994.489	232.1	0.49332	-0.01454
2005.985	163.8	0.48081	-0.01534
2014.614	252.6	0.46451	-0.01871
2016.744	198.0	0.46021	-0.01781
2040.282	266.2	0.47707	0.01130
2090.499	218.5	0.49784	-0.01411
2109.559	143.4	0.49489	-0.01262
2115.458	170.7	0.49143	-0.01538
2128.128	225.3	0.46708	0.00010
2154.151	348.2	0.41724	-0.00864
2180.011	163.8	0.42000	-0.02480
2206.744	273.1	0.43019	0.00016
2208.109	286.7	0.44312	-0.01631
2209.092	238.9	0.43123	-0.03377
2219.469	218.5	0.45519	-0.01547
2220.506	436.9	0.45042	-0.01845
2222.118	300.4	0.44610	-0.02655
2236.863	170.7	0.44386	-0.02280
2243.034	184.3	0.43418	-0.01423
2244.181	211.6	0.44662	-0.00045
2245.383	368.6	0.45929	0.01359
2266.873	191.1	0.44163	0.00278
2313.458	355.0	0.40509	-0.02006
2315.479	245.8	0.40939	-0.00570
2316.817	245.8	0.40667	-0.00144
2322.551	266.2	0.42137	-0.01090
2324.818	279.9	0.42606	-0.02134
2336.068	177.5	0.42909	-0.02397
2337.816	266.2	0.42692	-0.02969
2344.806	341.3	0.43997	-0.01730
2349.831	341.3	0.44873	-0.01304
2398.983	293.5	0.44161	-0.00041
2399.365	184.3	0.44872	0.00325
2402.478	163.8	0.44342	0.00204
2418.944	300.4	0.43131	-0.01375
2429.594	334.5	0.43109	-0.01436
2433.362	198.0	0.43106	-0.00055
2433.690	163.8	0.43150	-0.00545
2454.934	355.0	0.43881	-0.00683
2459.877	218.5	0.42780	-0.01228
2480.684	273.1	0.41282	0.00040
2482.760	163.8	0.41233	0.00784
2506.462	300.4	0.41930	0.00153
2527.379	218.5	0.43517	-0.01872
2547.586	218.5	0.42466	-0.02675
2554.795	430.1	0.38868	-0.00861
2580.053	198.0	0.41156	-0.00017
2592.123	314.0	0.41840	-0.01892
2623.061	307.2	0.38784	-0.00693
2629.506	211.6	0.38334	-0.00178
2658.806	286.7	0.41345	0.02405
2667.189	300.4	0.41485	0.02261
2702.578	273.1	0.41336	0.00802
2705.418	368.6	0.41050	0.00678
2709.542	293.5	0.40698	0.00125
2711.426	300.4	0.40308	0.00677
2738.678	348.2	0.41041	0.00944
2740.070	327.7	0.40080	-0.00157
2758.120	184.3	0.41354	0.00915
