DXEX v5
C:\Data\LDA\Charlie_2017\Run8_x400_fl_4hz_300secs\Run8_x400_fl_4hz_300secs.lda
14:43:16
3;400.0000 mm;0.0000 mm;40.0000 mm
Region1
"Row#"	"AT [ms]"	"TT [us]"	"LDA1 [m/s]"	"LDA4 [m/s]"	
1	73.465	750.9	0.10153	-0.00221
2	93.317	1024.0	0.10148	-0.00237
3	105.851	778.2	0.09960	-0.00180
4	114.425	880.6	0.09920	-0.00070
5	134.714	634.9	0.10047	-0.00287
6	143.916	907.9	0.10033	-0.00318
7	159.044	764.6	0.10277	-0.00283
8	188.208	600.7	0.10508	0.00151
9	193.833	491.5	0.10446	0.00105
10	206.066	641.7	0.10304	0.00637
11	282.225	1037.7	0.09582	0.00464
12	302.841	771.4	0.09598	0.00206
13	320.836	1037.7	0.09911	0.00028
14	349.836	976.2	0.09669	-0.00059
15	391.424	1938.8	0.09924	-0.00144
16	469.903	887.5	0.09716	-0.00339
17	590.626	1249.3	0.09679	-0.00105
18	623.613	1208.3	0.09515	-0.00216
19	656.026	737.3	0.09364	-0.00266
20	689.913	1310.7	0.09535	-0.00275
21	738.956	1399.5	0.09399	-0.00233
22	752.418	1010.3	0.09409	-0.00198
23	775.956	1085.4	0.09360	-0.00175
24	789.937	771.4	0.09138	-0.00294
25	793.023	1160.5	0.09373	-0.00193
26	819.756	771.4	0.09267	-0.00139
27	835.758	1160.5	0.09148	-0.00061
28	911.097	1194.7	0.09112	-0.00189
29	913.336	914.8	0.09333	-0.00109
30	917.159	1276.6	0.09372	-0.00283
31	964.809	559.8	0.09234	-0.00343
32	993.836	1488.2	0.09118	-0.00635
33	1067.810	1338.0	0.08627	-0.00198
34	1080.044	860.2	0.08770	0.00543
35	1082.556	1126.4	0.08631	0.00229
36	1106.340	880.6	0.08154	0.00607
37	1107.405	1160.5	0.09056	0.01163
38	1125.509	1508.7	0.08918	0.01063
39	1130.943	669.0	0.09050	0.01578
40	1133.428	873.8	0.08963	0.01443
41	1140.500	812.4	0.09219	0.01913
42	1214.556	887.5	0.08822	0.00384
43	1236.811	2095.8	0.08759	0.00602
